strain	clade	q40ps	q40l	q40het	fps	fl	fhet	fdps	fdl	fdhet	lohl
CEC4497	4	83431	14212290	0.0058703417957275	69867	11008090	0.00634687761455439	68663	10889097	0.00630566519886819	1200000
CEC3547	11	92388	14210606	0.00650134132210829	76558	11486031	0.00666531371889907	75801	11444642	0.00662327401765822	700000
CEC3672	1	84227	14224130	0.0059214166349717	69478	11364885	0.00611339226045842	69086	11275535	0.00612707068888527	900000
CEC4861	13	35549	14118579	0.00251788795458806	27721	8392739	0.00330297415420639	27704	8388699	0.00330253833162926	5600000
CEC3537	12	87072	14199205	0.00613217430130771	72021	11581466	0.00621864278667312	71646	11544091	0.00620629203286772	600000
CEC2021	2	77932	14176400	0.00549730538077368	63281	10672586	0.0059293033572182	62722	10641458	0.00589411714071512	1500000
CEC5028	13	35640	14125095	0.00252316887072264	27946	8494742	0.00328979973729632	27920	8490617	0.00328833581823323	5500000
CEC3531	2	72561	14172956	0.00511968004416298	57893	9676623	0.00598276898872675	57502	9644487	0.00596216263239299	2600000
CEC4882	13	35711	14126849	0.00252788148298322	28023	8496007	0.00329837298862866	28012	8492810	0.00329831940194117	5500000
CEC3715	A	98055	14191449	0.00690944243959866	83019	11774100	0.00705098478864627	82367	11748185	0.00701104042879815	500000
CEC716	12	85765	14189070	0.00604444124949697	72055	11775198	0.00611921769808032	71471	11735919	0.00608993637396441	500000
CEC4887	13	35944	14125726	0.00254457717783851	28234	8494023	0.00332398440644675	28210	8489865	0.00332278546243079	5500000
NCYC4144	oak	85387	14072669	0.00606757680437165	67114	9832817	0.00682551093954052	65775	9721805	0.00676571891742326	2300000
CEC1289	3	77420	14161795	0.00546682111978037	62791	10566785	0.00594229938434443	62205	10528577	0.00590820582876489	1600000
CEC4486	E	72029	14225480	0.00506337923219463	58628	9409804	0.0062305229736985	57768	9300770	0.00621109865097191	2900000
CEC4256	1	47864	14224419	0.00336491775164947	39693	7831777	0.00506819844334179	39432	7798122	0.00505660208958003	5600000
CEC709	3	81957	14169821	0.00578391216092285	66845	11118764	0.00601190923739365	66526	11103946	0.00599120348748094	1100000
CEC2872	18	92527	14210731	0.00651106547580135	76240	11399561	0.00668797684402057	75481	11362534	0.00664297242146866	900000
CEC3664	16	90752	14189734	0.0063956096710481	81356	11106354	0.00732517620093867	80563	11064215	0.00728140225040819	1900000
CEC3668	9	81009	14215392	0.00569868210458073	64874	9614952	0.00674719957000305	64474	9587557	0.00672475793364253	2600000
CEC3596	3	87766	14194899	0.00618292528886609	72132	11577607	0.00623030303239694	71633	11541345	0.00620664229342421	600000
CEC3561	11	92441	14209719	0.00650547699078356	76623	11485667	0.00667118418111895	75925	11442410	0.00663540285656606	700000
CEC5019	13	35615	14113630	0.00252344719253658	27893	8490246	0.00328529938944054	27872	8486715	0.00328419182215969	5500000
CEC3711	10	78948	14189772	0.0055637257596528	69707	9981169	0.00698385129036489	68917	9938995	0.0069340008723216	3200000
CEC4881	13	35542	14122732	0.00251665187727134	27589	8294470	0.00332619202914713	27576	8290122	0.00332636841773861	5700000
CEC4865	13	36088	14124275	0.00255503379819495	28365	8594247	0.00330046367063921	28342	8590025	0.00329940832535412	5400000
CEC4498	D	88489	14194830	0.00623388938085204	72960	10678211	0.00683260519950392	72186	10643042	0.00678245937580628	1600000
CEC4499	1	68930	14244951	0.00483890748378145	54516	9044170	0.00602775047350945	54176	8992048	0.00602487887075336	3400000
CEC3707	D	90596	14182897	0.00638769357205372	74099	11081382	0.00668680133939972	73527	11041396	0.00665921229525687	1100000
CEC4108	1	82603	14240870	0.00580041809243396	67122	11179126	0.00600422609066219	66828	11139438	0.00599922545464143	1100000
CEC2022	4	74824	14177276	0.00527774164797243	61289	9775725	0.0062695094225748	60439	9720594	0.0062176241493061	2400000
CEC1426	11	88750	14206772	0.00624702078698806	72188	10908891	0.00661735459635631	71703	10873383	0.00659435982343306	1300000
CEC3554	3	71385	14173427	0.00503653774066075	56050	9686439	0.00578644019747608	55723	9671039	0.00576184213505912	2500000
CEC3555	NC	81109	14188512	0.00571652615862749	71064	11014704	0.00645173942032396	70452	10976946	0.00641817860814839	2000000
NCYC4146	oak	88303	14235230	0.0062031312455085	73114	11112052	0.00657970283076429	73091	11110843	0.00657834873555499	1100000
CEC3613	NC	91562	14196334	0.00644969327996932	75400	10783885	0.00699191432401217	74813	10721564	0.00697780659612721	1400000
CEC1492	4	77267	14203333	0.00544006114621124	63524	10392723	0.00611235380756323	62878	10354575	0.00607248486779998	1800000
CEC4879	13	35720	14119228	0.00252988336189486	27984	8492337	0.00329520601926184	27968	8488204	0.00329492552252514	5500000
CEC3614	2	76366	14155735	0.00539470398393301	62420	10772708	0.00579427196949922	62130	10756323	0.00577613744027583	1500000
CEC3579	3	57212	14170511	0.00403739851018781	44989	8481614	0.00530429703591793	44580	8461386	0.00526864038586586	4300000
CEC3616	10	95050	14213685	0.00668721728390632	78193	11093741	0.00704838881672107	77565	11056960	0.00701503849159263	1100000
CEC3622	8	84217	14189987	0.00593495963033652	69159	11089874	0.00623622955499765	68529	11052972	0.00620005189554447	1100000
CEC3550	16	87728	14209442	0.00617392294503894	71915	10112996	0.00711114688466207	70812	10059940	0.00703900818493947	2200000
CEC718	1	67752	14219090	0.00476486188637951	53258	9558522	0.00557178191356362	53119	9529212	0.00557433290391692	2800000
CEC3618	11	59937	13992716	0.00428344289986304	46744	8364724	0.00558822980889746	45761	8175981	0.00559700420047454	3800000
CEC4877	13	35433	14119827	0.0025094500095504	27759	8491967	0.00326885396516496	27751	8488666	0.00326918269607969	5500000
CEC3638	3	28341	8336546	0.00339960938259082	23660	6837134	0.00346051430321535	19573	6084631	0.00321679326157987	600000
CEC3619	NC	72793	14182536	0.0051325799560812	63438	10275220	0.00617388240835719	63057	10247088	0.00615365067617259	2900000
CEC3660	1	59200	14196476	0.00417004896144649	45366	8436336	0.00537745296062177	45206	8413092	0.00537329200726677	4000000
CEC4500	1	62919	14233768	0.00442040364856305	54048	9218326	0.00586310356131905	53425	9164311	0.0058296799399322	3800000
CEC4864	13	35721	14123223	0.00252923854562093	28056	8593684	0.00326472325489278	28042	8589291	0.00326476306368011	5400000
CEC1424	1	76815	14236273	0.00539572400725948	65315	10793514	0.00605131933863244	64904	10747135	0.00603919090994949	2000000
